"ID"	"product"	"gene"	"SRR15309076"	"SRR15309078"	"SRR15309074"	"SRR15309066"	"SRR15309082"	"SRR15309080"	"SRR15309070"	"SRR15309065"	"SRR15309072"	"SRR15309068"	"SRR15309063"	"SRR15309061"
"b0045"	"putative transporter YaaU"	"yaaU"	16	13	20	5	18	14	6	27	26	9	5	10
"b0046"	"regulator of KefC-mediated potassium transport and quinone oxidoreductase"	"kefF"	97	150	144	154	164	81	72	178	219	86	93	60
"b0047"	"K(+) : H(+) antiporter KefC"	"kefC"	283	356	451	304	436	252	191	399	554	170	183	159
"b0048"	"dihydrofolate reductase"	"folA"	258	355	310	486	548	380	191	707	450	287	237	326
"b0049"	"diadenosine tetraphosphatase"	"apaH"	538	761	791	643	911	593	381	1385	930	581	398	326
"b0050"	"DUF525 domain-containing protein ApaG"	"apaG"	355	558	509	462	649	481	240	1185	592	380	313	326
"b0051"	"16S rRNA m(6)2A1518 m(6)2A1519 dimethyltransferase"	"rsmA"	1041	1596	1519	1861	2001	1460	927	3777	1683	1818	941	872
"b0052"	"4-hydroxythreonine-4-phosphate dehydrogenase"	"pdxA"	822	1546	1217	2159	1945	1400	1047	3793	1389	2080	855	772
"b0053"	"chaperone SurA"	"surA"	2841	4299	4390	5910	6136	4787	3364	9726	4825	4474	2508	2483
"b0054"	"lipopolysaccharide assembly protein LptD"	"lptD"	6594	9533	9750	9890	11541	8483	6882	15647	10746	7016	5921	4665
"b0055"	"co-chaperone protein DjlA"	"djlA"	302	449	424	467	441	364	279	711	510	343	335	339
"b0056"	"putative uncharacterized protein YabP"	"yabP"	112	203	189	119	204	117	110	284	219	92	105	124
"b0057"	"protein YabQ"	"yabQ"	11	19	8	37	11	19	11	41	17	11	14	11
"b0058"	"23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase"	"rluA"	178	200	280	194	391	314	107	237	306	114	63	87
"b0059"	"RNA polymerase-binding ATPase and RNAP recycling factor"	"rapA"	806	938	1294	950	2106	1684	506	1380	1371	511	257	368
"b0060"	"DNA polymerase II"	"polB"	577	632	944	724	741	582	453	1013	1168	389	495	485
"b0061"	"L-ribulose-5-phosphate 4-epimerase AraD"	"araD"	113	96	77	36	50	41	32	48	114	28	99	59
"b0062"	"L-arabinose isomerase"	"araA"	405	298	327	167	218	161	124	201	453	106	339	108
"b0063"	"ribulokinase"	"araB"	259	192	202	117	143	99	85	115	294	65	195	89
"b0064"	"DNA-binding transcriptional dual regulator AraC"	"araC"	1173	1092	924	1355	1571	1030	929	1223	1170	587	1188	853
"b0065"	"DedA family protein YabI"	"yabI"	257	378	360	265	358	247	182	265	431	128	100	88
"b0066"	"thiamine ABC transporter ATP binding subunit"	"thiQ"	74	103	103	131	152	111	61	133	105	68	35	42
"b0067"	"thiamine ABC transporter membrane subunit"	"thiP"	42	38	49	162	89	67	75	147	99	71	37	57
"b0068"	"thiamine ABC transporter periplasmic binding protein"	"thiB"	171	214	220	375	238	155	200	435	343	177	204	141
"b0069"	"DNA-binding transcriptional dual regulator SgrR"	"sgrR"	279	375	508	587	435	350	387	741	593	370	614	418
"b0070"	"sugar exporter SetA"	"setA"	370	465	264	302	355	218	149	270	369	128	143	192
"b0071"	"3-isopropylmalate dehydratase subunit LeuD"	"leuD"	186	195	172	174	281	169	103	314	238	116	139	144
"b0072"	"3-isopropylmalate dehydratase subunit LeuC"	"leuC"	205	248	290	202	429	262	186	443	349	163	202	160
"b0073"	"3-isopropylmalate dehydrogenase"	"leuB"	141	140	188	138	244	170	119	269	219	118	73	77
"b0074"	"2-isopropylmalate synthase"	"leuA"	179	180	232	208	258	197	147	462	293	115	132	96
"b0075"	"leu operon leader peptide"	"leuL"	17	65	24	48	15	8	35	75	70	34	17	66
"b0076"	"DNA-binding transcriptional dual regulator LeuO"	"leuO"	76	101	104	58	57	67	45	102	126	49	74	100
"b0077"	"acetolactate synthase/acetohydroxybutanoate synthase  catalytic subunit"	"ilvI"	304	458	397	333	554	411	187	445	547	174	115	132
"b0078"	"acetolactate synthase/acetohydroxybutanoate synthase  regulatory subunit"	"ilvH"	80	143	92	89	151	106	53	121	150	66	21	33
"b0080"	"DNA-binding transcriptional dual regulator Cra"	"cra"	1885	2349	1775	4612	2860	1973	2536	6327	1901	2632	3482	2781
"b0081"	"DNA-binding transcriptional repressor MraZ"	"mraZ"	1201	1411	1067	1180	1323	762	872	1490	1721	745	1189	801
"b0082"	"16S rRNA m(4)C1402 methyltransferase"	"rsmH"	1398	1463	1971	2433	1486	1130	1319	2515	2401	1063	1775	1579
"b0083"	"cell division protein FtsL"	"ftsL"	245	316	387	449	394	272	259	477	458	191	297	294
"b0084"	"peptidoglycan DD-transpeptidase FtsI"	"ftsI"	1737	2167	2106	2945	2469	1915	1832	3596	2867	1582	1967	2320
"b0085"	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2 6-diaminopimelate ligase"	"murE"	1828	2444	2676	4464	3350	2470	2226	3371	3217	2220	1730	1644
"b0086"	"D-alanyl-D-alanine-adding enzyme"	"murF"	1867	2670	2566	3821	3902	2858	1958	3920	3088	2279	2035	1863
"b0087"	"phospho-N-acetylmuramoyl-pentapeptide-transferase"	"mraY"	724	954	1064	1541	1395	1134	753	1827	1259	854	623	807
"b0088"	"UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase"	"murD"	1632	1950	2212	2448	2808	2277	1221	3152	2589	1573	1614	1454
"b0089"	"essential cell division protein FtsW"	"ftsW"	1114	1513	1473	1840	1880	1265	822	2652	1845	1208	1014	990
"b0090"	"N-acetylglucosaminyl transferase"	"murG"	1192	1443	1578	1543	2093	1484	895	2584	2054	1244	1473	1230
"b0091"	"UDP-N-acetylmuramate--L-alanine ligase"	"murC"	2063	2336	3043	3088	3872	3092	1592	5386	3229	2160	2775	3025
"b0092"	"D-alanine--D-alanine ligase B"	"ddlB"	1077	1169	1403	1551	2121	1544	868	2526	1621	983	1443	1467
"b0093"	"cell division protein FtsQ"	"ftsQ"	1091	1378	1319	1584	1630	1090	849	2243	1911	955	1367	1059
"b0094"	"cell division protein FtsA"	"ftsA"	1675	2273	1992	2385	2888	1855	1582	2697	2782	1382	1418	1452
"b0095"	"cell division protein FtsZ"	"ftsZ"	5509	6527	7667	7052	9859	6972	4444	8570	9480	4183	5997	5060
"b0096"	"UDP-3-O-acyl-N-acetylglucosamine deacetylase"	"lpxC"	7440	8343	10759	12354	11153	9527	6320	12700	12309	5379	8654	8914
"b0097"	"SecA translation regulator"	"secM"	1102	2047	1575	3217	2649	1807	2227	6676	1686	2915	3447	2477
"b0098"	"protein translocation ATPase"	"secA"	2624	4865	3176	11751	6866	4806	8238	18777	3684	12446	5078	5005
"b0099"	"8-oxo-dGTP diphosphatase"	"mutT"	60	100	74	109	135	88	87	277	90	131	83	96
"b0101"	"DNA gyrase inhibitor YacG"	"yacG"	98	178	104	202	215	183	97	330	138	141	87	162
"b0102"	"cell division factor ZapD"	"zapD"	360	606	574	728	861	675	424	1052	653	442	513	544
"b0103"	"dephospho-CoA kinase"	"coaE"	221	319	391	395	364	252	225	635	405	217	371	368
"b0104"	"GMP reductase"	"guaC"	1718	2088	2330	2074	2555	2062	1488	3550	2633	1239	1075	1162
"b0106"	"inner membrane protein HofC"	"hofC"	68	64	100	70	99	68	62	135	172	30	46	41
"b0107"	"T2SSE family protein"	"hofB"	118	162	157	108	136	122	70	146	155	78	137	95
"b0108"	"prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD"	"ppdD"	8	13	13	5	11	5	10	28	15	4	11	17
"b0109"	"quinolinate phosphoribosyltransferase (decarboxylating)"	"nadC"	369	715	529	830	852	651	599	1227	655	635	757	587
"b0110"	"1 6-anhydro-N-acetylmuramoyl-L-alanine amidase"	"ampD"	240	348	389	643	353	289	432	723	386	347	712	474
"b0111"	"protein AmpE"	"ampE"	238	276	290	789	275	232	417	599	312	301	396	419
"b0112"	"aromatic amino acid:H(+) symporter AroP"	"aroP"	300	522	466	646	605	404	414	807	535	391	273	328
"b0113"	"DNA-binding transcriptional dual regulator PdhR"	"pdhR"	828	632	1061	743	2729	2211	301	1268	1452	618	527	426
"b0114"	"pyruvate dehydrogenase E1 component"	"aceE"	12438	12492	11990	6126	39579	38114	5500	12940	18696	6757	8578	5805
"b0115"	"pyruvate dehydrogenase  E2 subunit"	"aceF"	5866	7249	6095	4165	19135	18312	3390	6453	9080	3384	5151	3400
"b0116"	"lipoamide dehydrogenase"	"lpd"	16389	29420	14422	29615	39103	29611	22409	34959	19004	19054	13641	11651
"b0117"	"DUF3300 domain-containing protein YacH"	"yacH"	93	114	176	107	144	100	51	103	213	47	89	95
"b0118"	"hypothetical protein"	"acnB"	36562	51564	29737	79496	53524	34628	59426	81767	42351	42899	42584	26519
"b0119"	"UPF0231 family protein YacL"	"yacL"	268	379	249	342	645	349	305	543	498	258	270	216
"b0120"	"S-adenosylmethionine decarboxylase proenzyme"	"speD"	827	1927	890	1061	3675	2309	877	2099	1295	1003	530	318
"b0121"	"spermidine synthase"	"speE"	1023	2054	1044	812	3361	2505	813	1715	1463	810	558	352
"b0122"	"putative lipoprotein YacC"	"yacC"	327	606	476	460	406	281	298	782	490	257	432	373
"b0123"	"multicopper oxidase CueO"	"cueO"	393	471	593	515	609	433	307	598	758	257	313	266
"b0124"	"quinoprotein glucose dehydrogenase"	"gcd"	2021	2012	3642	487	2664	1508	282	568	3885	259	126	129
"b0125"	"hypoxanthine phosphoribosyltransferase"	"hpt"	608	1085	860	1462	1593	1274	835	2561	989	888	486	971
"b0126"	"carbonic anhydrase 2"	"can"	4627	5561	6155	6382	4101	3098	4043	8216	6571	3270	1820	1990
"b0127"	"putative ABC transporter ATP-binding protein YadG"	"yadG"	495	799	600	751	887	523	643	1175	766	579	411	522
"b0128"	"putative ABC transporter membrane subunit YadH"	"yadH"	230	359	318	477	507	347	324	589	382	273	201	256
"b0129"	"putative PTS enzyme IIA component YadI"	"yadI"	133	156	104	223	247	164	173	316	139	143	301	272
"b0130"	"putative polysaccharide deacetylase lipoprotein YadE"	"yadE"	125	182	159	175	206	132	145	406	227	181	157	168
"b0131"	"aspartate 1-decarboxylase proenzyme"	"panD"	1401	3131	1811	2844	3746	3029	1797	4848	1814	2216	1368	1697
"b0132"	"recombination-promoting nuclease RpnC"	"rpnC"	59	114	65	68	111	49	53	116	114	56	48	57
"b0133"	"pantothenate synthetase"	"panC"	1883	2540	2598	3948	3069	2731	2288	4671	2939	1694	2972	2486
"b0134"	"3-methyl-2-oxobutanoate hydroxymethyltransferase"	"panB"	1137	1886	1644	1933	2289	1816	1508	2804	1980	1335	2258	1717
"b0135"	"fimbrial tip-adhesin YadC"	"yadC"	14	30	20	40	20	13	34	75	36	37	41	80
"b0136"	"putative fimbrial protein YadK"	"yadK"	7	2	9	19	10	0	7	7	12	4	11	17
"b0137"	"putative fimbrial protein YadL"	"yadL"	13	9	15	18	8	4	7	10	25	8	11	12
"b0138"	"putative fimbrial protein YadM"	"yadM"	13	10	15	7	11	6	5	8	15	7	11	14
"b0139"	"putative fimbrial usher protein HtrE"	"htrE"	22	31	20	11	18	24	19	47	30	20	21	48
"b0140"	"putative fimbrial chaperone YadV"	"yadV"	7	2	3	6	2	10	1	10	1	9	3	8
"b0141"	"putative fimbrial protein YadN"	"yadN"	1	3	4	9	3	1	1	3	2	0	2	13
"b0142"	"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase"	"folK"	75	147	94	108	236	157	78	310	122	107	51	66
"b0143"	"poly(A) polymerase I"	"pcnB"	1486	2436	2164	2724	4181	3346	1306	4563	2390	1686	1247	1311
"b0144"	"glutamyl-Q tRNA(Asp) synthetase"	"gluQ"	176	257	275	209	350	283	129	596	293	166	118	169
"b0145"	"RNA polymerase-binding transcription factor DksA"	"dksA"	3594	5126	3361	9578	5631	3809	5900	10816	4863	4723	4962	4718
"b0146"	"putative DNA-binding transcriptional regulator of maltose metabolism"	"sfsA"	804	935	1105	757	860	525	721	878	1691	470	969	897
"b0147"	"RNA 2prime 3prime-cyclic phosphodiesterase"	"thpR"	135	216	200	204	258	148	154	397	229	169	184	176
"b0148"	"RNA-dependent NTPase HrpB"	"hrpB"	728	950	1074	1288	1275	1026	743	1515	1176	629	872	730
"b0149"	"peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB"	"mrcB"	1089	1417	1566	2235	2092	1621	1073	2720	1636	1236	1250	1277
"b0150"	"ferrichrome outer membrane transporter/phage receptor"	"fhuA"	223	523	386	1043	1541	1206	450	784	457	305	2977	3620
"b0151"	"iron(III) hydroxamate ABC transporter ATP binding subunit"	"fhuC"	46	68	55	118	172	123	39	108	67	50	261	278
"b0152"	"iron(III) hydroxamate ABC transporter periplasmic binding protein"	"fhuD"	37	71	53	84	119	110	42	54	74	40	137	229
"b0153"	"iron(III) hydroxamate ABC transporter membrane subunit"	"fhuB"	108	158	156	265	322	290	128	243	175	104	188	266
"b0154"	"glutamate-1-semialdehyde 2 1-aminomutase"	"hemL"	1828	2920	2794	4779	3784	3363	2926	6119	2965	2665	2599	2522
"b0155"	"chloride:H(+) antiporter ClcA"	"clcA"	567	607	1051	775	619	461	505	1041	1184	491	473	471
"b0156"	"iron-sulfur cluster insertion protein ErpA"	"erpA"	393	596	474	497	506	328	400	436	661	240	72	147
"b0157"	"PF03458 family protein YadS"	"yadS"	49	61	70	135	87	54	72	164	75	57	52	54
"b0158"	"vitamin B12 ABC transporter periplasmic binding protein"	"btuF"	109	193	121	244	245	147	170	365	217	224	130	119
"b0159"	"5prime-methylthioadenosine/S-adenosylhomocysteine nucleosidase"	"mtn"	1510	2078	1963	1905	2500	1785	1239	2853	2388	1209	1729	1582
"b0160"	"dGTP triphosphohydrolase"	"dgt"	486	719	681	1090	689	497	999	1465	889	652	833	756
"b0161"	"periplasmic serine endoprotease DegP"	"degP"	2935	3287	4521	5173	2639	2147	3808	11752	5648	3999	1984	2342
"b0162"	"DNA-binding transcriptional activator CdaR"	"cdaR"	363	419	299	1452	474	242	649	983	561	674	993	398
"b0163"	"DUF3461 domain-containing protein YaeH"	"yaeH"	1552	1416	1945	1830	1457	923	1432	1854	2426	918	3764	2059
"b0164"	"phosphodiesterase YaeI"	"yaeI"	61	78	85	133	103	74	126	383	79	129	145	118
"b0166"	"tetrahydrodipicolinate succinylase"	"dapD"	5226	6463	7444	10233	8174	6388	5747	12334	7285	5648	4980	6568
"b0167"	"PII uridylyltransferase/uridylyl removing enzyme"	"glnD"	910	1207	1234	1067	1759	1207	765	1499	1564	664	1095	865
"b0168"	"methionine aminopeptidase"	"map"	1312	2160	1817	2035	2742	2248	1425	3119	2041	1227	1386	1551
"b0169"	"30S ribosomal subunit protein S2"	"rpsB"	14334	25861	13642	19737	51803	43348	11616	42080	17385	13059	13777	8952
"b0170"	"protein chain elongation factor EF-Ts"	"tsf"	4831	9081	3919	7188	17856	16070	4871	13415	5622	4427	3489	3475
"b0171"	"UMP kinase"	"pyrH"	749	1295	879	970	2106	1571	572	1802	1296	856	673	507
"b0172"	"ribosome-recycling factor"	"frr"	4440	7045	6453	6448	8034	6064	3697	9941	7082	4094	4365	4111
"b0173"	"1-deoxy-D-xylulose 5-phosphate reductoisomerase"	"dxr"	440	747	678	496	894	634	317	651	906	356	348	378
"b0174"	"ditrans polycis-undecaprenyl-diphosphate synthase [(2E 6E)-farnesyl-diphosphate specific]"	"uppS"	1175	1448	1437	2335	2029	1301	1280	3224	1736	1429	966	985
"b0175"	"CDP-diglyceride synthetase"	"cdsA"	642	819	716	1321	1286	915	732	1718	1019	752	493	505
"b0176"	"intramembrane zinc metalloprotease RseP"	"rseP"	2179	3303	2703	4042	3771	2792	2382	6473	3601	2519	1403	1810
"b0177"	"outer membrane protein assembly factor BamA"	"bamA"	8171	12980	9034	13879	17893	12875	9095	27074	12023	10945	6793	6529
"b0178"	"periplasmic chaperone Skp"	"skp"	3745	5960	4415	8017	7478	5636	4994	11738	5438	4609	5068	5287
"b0179"	"UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase"	"lpxD"	3717	6403	4995	5323	8159	6551	3084	12637	5591	4940	3745	3725
"b0180"	"3-hydroxy-acyl-[acyl-carrier-protein] dehydratase"	"fabZ"	1863	2585	2239	2922	3402	2851	1568	5557	2902	1541	1806	2075
"b0181"	"acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase"	"lpxA"	1545	2222	2203	3221	3404	2914	1464	4419	2363	1573	1525	2018
"b0182"	"lipid A disaccharide synthase"	"lpxB"	1035	1379	1413	1392	1421	1145	752	2279	1596	938	806	1017
"b0183"	"RNase HII"	"rnhB"	269	477	370	625	561	403	233	964	383	386	185	261
"b0184"	"DNA polymerase III subunit alpha"	"dnaE"	1819	3199	2367	3750	4931	3871	1821	6216	2856	2737	1286	1850
"b0185"	"acetyl-CoA carboxyltransferase subunit alpha"	"accA"	1724	3147	2139	5537	4471	3463	2779	7739	2540	3149	1610	1872
"b0186"	"lysine decarboxylase 2"	"ldcC"	1043	782	2011	293	974	487	231	445	2667	206	303	205
"b0187"	"VOC domain-containing protein YaeR"	"yaeR"	180	275	319	253	241	140	184	388	355	187	95	82
"b0188"	"tRNA(Ile)-lysidine synthetase"	"tilS"	459	652	638	879	935	645	369	898	894	500	291	259
"b0189"	"modulator of Rho-dependent transcription termination"	"rof"	107	149	171	355	131	94	184	246	204	93	182	284
"b0190"	"uncharacterized protein YaeQ"	"yaeQ"	235	344	289	370	327	278	287	662	389	278	404	334
"b0191"	"peptidyl-tRNA hydrolase  ribosome rescue factor"	"arfB"	188	229	170	149	194	126	99	287	273	124	148	92
"b0192"	"sensor lipoprotein NlpE"	"nlpE"	676	713	854	548	855	612	308	823	901	311	415	327
"b0193"	"peptidase C92 family protein YaeF"	"yaeF"	91	123	120	93	141	102	74	167	154	76	88	104
"b0194"	"proline--tRNA ligase"	"proS"	3861	5326	4390	5082	8256	6757	2597	8943	5805	3802	2406	2484
"b0195"	"tRNA m(6)t(6)A37 methyltransferase"	"trmO"	205	419	339	614	318	236	320	1030	356	389	297	244
"b0196"	"sensor lipoprotein RcsF"	"rcsF"	476	682	692	696	586	485	572	1391	847	703	849	536
"b0197"	"L-methionine/D-methionine ABC transporter membrane anchored binding protein"	"metQ"	1312	1743	1561	1693	2521	1850	1301	2267	1658	1111	1277	1103
"b0198"	"L-methionine/D-methionine ABC transporter membrane subunit"	"metI"	194	323	281	271	451	394	192	349	283	198	138	170
"b0199"	"L-methionine/D-methionine ABC transporter ATP binding subunit"	"metN"	309	471	425	451	718	618	232	412	448	259	140	165
"b0200"	"D-glycero-beta-D-manno-heptose-1 7-bisphosphate 7-phosphatase"	"gmhB"	467	627	595	836	881	603	584	931	689	517	549	680
"b0207"	"methylglyoxal reductase DkgB"	"dkgB"	264	254	357	224	407	277	134	348	482	155	260	192
"b0208"	"LysR family transcriptional regulator YafC"	"yafC"	227	251	314	439	274	193	326	574	362	231	482	515
"b0209"	"endonuclease/exonuclease/phosphatase domain-containing protein YafD"	"yafD"	1424	1853	2332	2356	1498	1072	1353	2282	2487	1171	1035	999
"b0210"	"putative S-adenosylmethionine-dependent methyltransferase"	"yafE"	112	145	190	195	141	134	88	232	180	80	141	254
"b0211"	"membrane-bound lytic murein transglycosylase D"	"mltD"	1744	2145	2358	2738	2717	2283	1100	3136	2741	1183	1246	1550
"b0212"	"hydroxyacylglutathione hydrolase GloB"	"gloB"	477	515	538	557	549	347	420	910	620	452	711	608
"b0213"	"putative S-adenosyl-L-methionine-dependent methyltransferase"	"yafS"	247	381	339	354	300	240	237	600	422	186	483	290
"b0214"	"ribonuclease HI"	"rnhA"	153	249	229	236	323	231	162	398	217	134	149	223
"b0215"	"DNA polymerase III subunit epsilon"	"dnaQ"	576	671	764	526	702	539	312	738	918	318	495	392
"b0217"	"lipoprotein YafT"	"yafT"	22	28	22	14	23	16	12	77	29	19	17	18
"b0219"	"2-oxoglutaramate amidase"	"yafV"	285	304	520	393	364	270	226	378	579	156	243	205
"b0220"	"periplasmic chaperone  inhibitor of vertebrate C-type lysozyme"	"ivy"	2195	2369	2288	468	3353	2031	362	502	3080	308	434	414
"b0221"	"acyl-CoA dehydrogenase"	"fadE"	3815	2724	3231	3378	2080	1323	2473	4081	3256	1643	1086	1010
"b0222"	"D-sedoheptulose 7-phosphate isomerase"	"gmhA"	2856	3706	3587	3272	4397	3195	1919	4622	4234	1715	2206	2101
"b0223"	"putative glutamine amidotransferase YafJ"	"yafJ"	1089	1759	1363	1745	1952	1344	1067	2609	1597	1019	1468	1247
"b0224"	"L D-transpeptidase domain-containing protein LdtF"	"ldtF"	820	1288	1283	698	1148	876	367	1095	1380	419	460	553
"b0225"	"ribosome-dependent mRNA interferase toxin YafQ"	"yafQ"	116	159	147	109	147	122	71	203	156	95	103	81
"b0226"	"antitoxin/DNA-binding transcriptional repressor DinJ"	"dinJ"	156	197	225	79	169	134	72	170	240	61	143	159
"b0227"	"NlpC/P60 family protein YafL"	"yafL"	46	51	78	30	51	29	19	49	101	24	29	40
"b0228"	"REP-associated tyrosine transposase"	"rayT"	157	225	149	219	217	124	134	233	192	150	210	148
"b0231"	"DNA polymerase IV"	"dinB"	253	224	369	249	337	258	144	262	450	151	258	244
"b0232"	"antitoxin YafN"	"yafN"	64	61	79	35	53	46	41	72	115	35	42	43
"b0233"	"ribosome-dependent mRNA interferase toxin YafO"	"yafO"	30	37	50	41	20	22	35	32	70	15	26	17
"b0234"	"putative acyltransferase with acyl-CoA N-acyltransferase domain"	"yafP"	49	42	55	38	27	32	27	65	80	35	34	23
"b0237"	"peptidase D"	"pepD"	9012	13111	10738	13243	15882	10006	10402	19750	12672	9037	11141	8518
"b0238"	"xanthine-guanine phsophoribosyltransferase"	"gpt"	191	399	256	328	866	618	112	533	335	195	243	193
"b0239"	"fermentation-respiration switch protein"	"frsA"	647	795	1106	780	1161	965	478	822	1167	381	744	690
"b0240"	"RNA polymerase holoenzyme assembly factor Crl"	"crl"	11	11	7	20	25	15	10	14	12	4	2	21
"b0241"	"outer membrane porin PhoE"	"phoE"	8	12	6	14	11	7	11	27	18	4	9	11
"b0242"	"glutamate 5-kinase"	"proB"	1474	2240	2356	2537	2991	2352	1491	3260	2523	1526	1690	2079
"b0243"	"glutamate-5-semialdehyde dehydrogenase"	"proA"	1349	2014	1821	2411	2813	2337	1423	3417	2274	1379	1188	1490
"b0245"	"CP4-6 prophage toxin of the YkfI-YafW toxin-antitoxin system"	"ykfI"	58	40	74	15	53	42	23	60	68	18	28	14
